id,name,slug,description,dosage,category,baseCost,shippingCost,markupAmount,salePrice,inStock,stockQuantity,supplierId,supplierProductCode,imageUrl,imageAltText,metaTitle,metaDescription,isActive,createdAt,updatedAt
31,NAD+ 1000mg,nad-1000mg,Cellular energy and anti-aging research compound. Kit of 10 vials. Research use only.,1000mg per vial,Anti-Aging,176.00,65.00,121.00,362.00,true,50,1,null,null,null,NAD+ 1000mg - Research Peptide Kit,High-quality NAD+ 1000mg research peptide kit of 10 vials,true,2025-09-29 07:18:24.999,2025-09-29 07:18:24.999
32,GHK-Cu 50mg,ghk-cu-50mg,Copper peptide for skin and tissue research. Kit of 10 vials. Research use only.,50mg per vial,Anti-Aging,33.00,65.00,49.00,147.00,true,50,1,null,null,null,GHK-Cu 50mg - Research Peptide Kit,High-quality GHK-Cu 50mg research peptide kit of 10 vials,true,2025-09-29 07:18:25.117,2025-09-29 07:18:25.117
33,GHK-Cu 100mg,ghk-cu-100mg,Copper peptide for skin and tissue research. Kit of 10 vials. Research use only.,100mg per vial,Anti-Aging,65.00,65.00,65.00,195.00,true,50,1,null,null,null,GHK-Cu 100mg - Research Peptide Kit,High-quality GHK-Cu 100mg research peptide kit of 10 vials,true,2025-09-29 07:18:25.205,2025-09-29 07:18:25.205
34,Melanotan II 10mg,melanotan-ii-10mg,Melanocortin receptor agonist for research purposes. Kit of 10 vials. Research use only.,10mg per vial,Research Peptides,54.00,65.00,60.00,179.00,true,50,1,null,null,null,Melanotan II 10mg - Research Peptide Kit,High-quality Melanotan II 10mg research peptide kit of 10 vials,true,2025-09-29 07:18:25.307,2025-09-29 07:18:25.307
35,PT-141 10mg,pt-141-10mg,Melanocortin receptor agonist for research. Kit of 10 vials. Research use only.,10mg per vial,Research Peptides,62.00,65.00,64.00,191.00,true,50,1,null,null,null,PT-141 10mg - Research Peptide Kit,High-quality PT-141 10mg research peptide kit of 10 vials,true,2025-09-29 07:18:25.41,2025-09-29 07:18:25.41
36,AOD-9604 5mg,aod-9604-5mg,Growth hormone fragment for metabolic research. Kit of 10 vials. Research use only.,5mg per vial,Research Peptides,109.00,65.00,87.00,261.00,true,50,1,null,null,null,AOD-9604 5mg - Research Peptide Kit,High-quality AOD-9604 5mg research peptide kit of 10 vials,true,2025-09-29 07:18:25.512,2025-09-29 07:18:25.512
37,MOTS-c 10mg,mots-c-10mg,Mitochondrial peptide for metabolic research. Kit of 10 vials. Research use only.,10mg per vial,Research Peptides,71.00,65.00,68.00,204.00,true,50,1,null,null,null,MOTS-c 10mg - Research Peptide Kit,High-quality MOTS-c 10mg research peptide kit of 10 vials,true,2025-09-29 07:18:25.614,2025-09-29 07:18:25.614
38,Thymosin Alpha-1 5mg,thymosin-alpha-1-5mg,Immune system research peptide. Kit of 10 vials. Research use only.,5mg per vial,Research Peptides,109.00,65.00,87.00,261.00,true,50,1,null,null,null,Thymosin Alpha-1 5mg - Research Peptide Kit,High-quality Thymosin Alpha-1 5mg research peptide kit of 10 vials,true,2025-09-29 07:18:25.716,2025-09-29 07:18:25.716
39,Glutathione 600mg,glutathione-600mg,Antioxidant research compound. Kit of 10 vials. Research use only.,600mg per vial,Research Peptides,40.00,65.00,53.00,158.00,true,50,1,null,null,null,Glutathione 600mg - Research Peptide Kit,High-quality Glutathione 600mg research peptide kit of 10 vials,true,2025-09-29 07:18:25.819,2025-09-29 07:18:25.819
40,Selank 5mg,selank-5mg,Anxiolytic research peptide. Kit of 10 vials. Research use only.,5mg per vial,Research Peptides,49.00,65.00,57.00,171.00,true,50,1,null,null,null,Selank 5mg - Research Peptide Kit,High-quality Selank 5mg research peptide kit of 10 vials,true,2025-09-29 07:18:25.922,2025-09-29 07:18:25.922
41,Semax 5mg,semax-5mg,Nootropic research peptide. Kit of 10 vials. Research use only.,5mg per vial,Research Peptides,49.00,65.00,57.00,171.00,true,50,1,null,null,null,Semax 5mg - Research Peptide Kit,High-quality Semax 5mg research peptide kit of 10 vials,true,2025-09-29 07:18:26.024,2025-09-29 07:18:26.024
1,Semaglutide 5mg,semaglutide-5mg,GLP-1 receptor agonist for metabolic research. Kit of 10 vials. Research use only.,5mg per vial,GLP-1 Agonists,40.00,65.00,53.00,158.00,true,50,1,null,https://res.cloudinary.com/ds42miizn/image/upload/Sema_ve7any,null,Semaglutide 5mg - Research Peptide Kit,High-quality Semaglutide 5mg research peptide kit of 10 vials,true,2025-09-29 07:18:21.829,2025-09-29 07:50:58.433
2,Semaglutide 10mg,semaglutide-10mg,GLP-1 receptor agonist for metabolic research. Kit of 10 vials. Research use only.,10mg per vial,GLP-1 Agonists,63.00,65.00,64.00,192.00,true,50,1,null,https://res.cloudinary.com/ds42miizn/image/upload/Sema_ve7any,null,Semaglutide 10mg - Research Peptide Kit,High-quality Semaglutide 10mg research peptide kit of 10 vials,true,2025-09-29 07:18:22.037,2025-09-29 07:50:58.433
3,Semaglutide 15mg,semaglutide-15mg,GLP-1 receptor agonist for metabolic research. Kit of 10 vials. Research use only.,15mg per vial,GLP-1 Agonists,74.00,65.00,70.00,209.00,true,50,1,null,https://res.cloudinary.com/ds42miizn/image/upload/Sema_ve7any,null,Semaglutide 15mg - Research Peptide Kit,High-quality Semaglutide 15mg research peptide kit of 10 vials,true,2025-09-29 07:18:22.108,2025-09-29 07:50:58.433
4,Semaglutide 20mg,semaglutide-20mg,GLP-1 receptor agonist for metabolic research. Kit of 10 vials. Research use only.,20mg per vial,GLP-1 Agonists,89.00,65.00,77.00,231.00,true,50,1,null,https://res.cloudinary.com/ds42miizn/image/upload/Sema_ve7any,null,Semaglutide 20mg - Research Peptide Kit,High-quality Semaglutide 20mg research peptide kit of 10 vials,true,2025-09-29 07:18:22.236,2025-09-29 07:50:58.433
5,Semaglutide 30mg,semaglutide-30mg,GLP-1 receptor agonist for metabolic research. Kit of 10 vials. Research use only.,30mg per vial,GLP-1 Agonists,109.00,65.00,87.00,261.00,true,50,1,null,https://res.cloudinary.com/ds42miizn/image/upload/Sema_ve7any,null,Semaglutide 30mg - Research Peptide Kit,High-quality Semaglutide 30mg research peptide kit of 10 vials,true,2025-09-29 07:18:22.337,2025-09-29 07:50:58.433
10,Tirzepatide 30mg,tirzepatide-30mg,Dual GIP/GLP-1 receptor agonist for advanced metabolic studies. Kit of 10 vials. Research use only.,30mg per vial,GLP-1 Agonists,114.00,65.00,90.00,269.00,true,50,1,null,https://res.cloudinary.com/ds42miizn/image/upload/tirz_urtfuv,null,Tirzepatide 30mg - Research Peptide Kit,High-quality Tirzepatide 30mg research peptide kit of 10 vials,true,2025-09-29 07:18:22.849,2025-09-29 07:50:58.845
